client_id,contact_duration,number_contacts,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,last_contact_date
49,225,2,999,0,,0,2022-05-01
50,160,1,999,0,,0,2022-05-01
51,266,1,999,0,,0,2022-05-01
52,253,1,999,0,,0,2022-05-01
53,179,1,999,0,,0,2022-05-01
54,269,2,999,0,,0,2022-05-01
55,135,1,999,0,,0,2022-05-01
56,161,1,999,0,,0,2022-05-01
57,787,1,999,0,,0,2022-05-01
58,145,1,999,0,,0,2022-05-01
59,174,1,999,0,,0,2022-05-01
60,449,1,999,0,,0,2022-05-01
61,812,1,999,0,,0,2022-05-01
62,164,1,999,0,,0,2022-05-01
63,366,1,999,0,,0,2022-05-01
64,357,1,999,0,,0,2022-05-01
65,232,1,999,0,,0,2022-05-01
66,91,1,999,0,,0,2022-05-01
67,273,1,999,0,,0,2022-05-01
68,158,2,999,0,,0,2022-05-01
69,177,1,999,0,,0,2022-05-01
70,200,1,999,0,,0,2022-05-01
71,172,1,999,0,,0,2022-05-01
72,176,1,999,0,,0,2022-05-01
73,211,1,999,0,,0,2022-05-01
74,214,1,999,0,,0,2022-05-01
75,1575,1,999,0,,1,2022-05-01
76,349,1,999,0,,0,2022-05-01
77,337,2,999,0,,0,2022-05-01
78,272,1,999,0,,0,2022-05-01
79,208,1,999,0,,0,2022-05-01
80,193,1,999,0,,0,2022-05-01
81,212,1,999,0,,0,2022-05-01
82,165,2,999,0,,0,2022-05-01
83,1042,1,999,0,,1,2022-05-01
84,20,1,999,0,,0,2022-05-01
85,246,1,999,0,,0,2022-05-01
86,529,2,999,0,,0,2022-05-01
87,192,1,999,0,,0,2022-05-01
88,1467,1,999,0,,1,2022-05-01
89,188,2,999,0,,0,2022-05-01
90,180,2,999,0,,0,2022-05-01
91,48,1,999,0,,0,2022-05-01
92,213,2,999,0,,0,2022-05-01
93,545,1,999,0,,0,2022-05-01
94,583,1,999,0,,0,2022-05-01
95,221,1,999,0,,0,2022-05-01
96,426,1,999,0,,0,2022-05-01
97,287,1,999,0,,0,2022-05-01
98,197,1,999,0,,0,2022-05-01
99,257,1,999,0,,0,2022-05-01
100,229,1,999,0,,0,2022-05-01
101,55,3,999,0,,0,2022-05-01
102,400,1,999,0,,0,2022-05-01
103,197,1,999,0,,0,2022-05-01
104,190,1,999,0,,0,2022-05-01
105,21,1,999,0,,0,2022-05-01
106,300,2,999,0,,0,2022-05-01
107,123,2,999,0,,0,2022-05-01
108,293,1,999,0,,0,2022-05-01
109,325,1,999,0,,0,2022-05-01
110,514,1,999,0,,0,2022-05-01
111,849,2,999,0,,0,2022-05-01
112,194,1,999,0,,0,2022-05-01
113,212,2,999,0,,0,2022-05-01
114,337,2,999,0,,0,2022-05-01
115,286,1,999,0,,0,2022-05-01
116,247,2,999,0,,0,2022-05-01
117,518,1,999,0,,0,2022-05-01
118,364,1,999,0,,0,2022-05-01
119,178,1,999,0,,0,2022-05-01
120,98,1,999,0,,0,2022-05-01
121,439,1,999,0,,0,2022-05-01
122,139,1,999,0,,0,2022-05-01
123,79,1,999,0,,0,2022-05-01
124,175,1,999,0,,0,2022-05-01
125,262,2,999,0,,0,2022-05-01
126,61,1,999,0,,0,2022-05-01
127,78,1,999,0,,0,2022-05-01
128,102,2,999,0,,0,2022-05-01
129,579,1,999,0,,1,2022-05-01
130,143,1,999,0,,0,2022-05-01
131,677,1,999,0,,0,2022-05-01
132,267,1,999,0,,0,2022-05-01
133,345,1,999,0,,0,2022-05-01
134,185,1,999,0,,0,2022-05-01
135,207,1,999,0,,0,2022-05-01
136,69,2,999,0,,0,2022-05-01
137,100,2,999,0,,0,2022-05-01
138,125,2,999,0,,0,2022-05-01
139,461,1,999,0,,1,2022-05-01
140,240,1,999,0,,0,2022-05-01
141,70,1,999,0,,0,2022-05-01
142,193,1,999,0,,0,2022-05-01
143,136,1,999,0,,0,2022-05-01
144,73,1,999,0,,0,2022-05-01
145,528,1,999,0,,0,2022-05-01
146,541,1,999,0,,0,2022-05-01
147,338,1,999,0,,0,2022-05-01
148,163,1,999,0,,0,2022-05-01
149,87,1,999,0,,0,2022-05-01
150,301,1,999,0,,0,2022-05-01
151,46,1,999,0,,0,2022-05-01
152,52,1,999,0,,0,2022-05-01
153,204,1,999,0,,0,2022-05-01
154,155,1,999,0,,0,2022-05-01
155,98,1,999,0,,0,2022-05-01
156,71,1,999,0,,0,2022-05-01
157,243,1,999,0,,0,2022-05-01
158,186,2,999,0,,0,2022-05-01
159,579,2,999,0,,0,2022-05-01
160,165,2,999,0,,0,2022-05-01
161,163,2,999,0,,0,2022-05-01
162,46,1,999,0,,0,2022-05-01
163,559,3,999,0,,0,2022-05-01
164,2033,1,999,0,,0,2022-05-01
165,85,1,999,0,,0,2022-05-01
166,506,1,999,0,,0,2022-05-01
167,114,2,999,0,,0,2022-05-01
168,114,2,999,0,,0,2022-05-01
169,843,2,999,0,,0,2022-05-01
170,181,1,999,0,,0,2022-05-01
171,427,1,999,0,,0,2022-05-01
172,292,1,999,0,,0,2022-05-01
173,192,1,999,0,,0,2022-05-01
174,93,3,999,0,,0,2022-05-01
175,128,2,999,0,,0,2022-05-01
176,107,1,999,0,,0,2022-05-01
177,303,2,999,0,,0,2022-05-01
178,81,1,999,0,,0,2022-05-01
179,270,1,999,0,,0,2022-05-01
180,228,1,999,0,,0,2022-05-01
181,240,1,999,0,,0,2022-05-01
182,673,2,999,0,,1,2022-05-01
183,233,3,999,0,,0,2022-05-01
184,102,1,999,0,,0,2022-05-01
185,461,1,999,0,,0,2022-05-01
186,250,1,999,0,,0,2022-05-01
187,130,1,999,0,,0,2022-05-01
188,252,1,999,0,,0,2022-05-01
189,138,1,999,0,,0,2022-05-01
190,412,1,999,0,,0,2022-05-01
191,179,2,999,0,,0,2022-05-01
192,19,2,999,0,,0,2022-05-01
193,228,2,999,0,,0,2022-05-01
194,55,1,999,0,,0,2022-05-01
195,717,1,999,0,,0,2022-05-01
196,313,1,999,0,,0,2022-05-01
197,289,1,999,0,,0,2022-05-01
198,683,2,999,0,,0,2022-05-01
199,1077,1,999,0,,0,2022-05-01
200,146,2,999,0,,0,2022-05-01
201,167,1,999,0,,0,2022-05-01
202,356,2,999,0,,0,2022-05-01
203,277,1,999,0,,0,2022-05-01
204,172,1,999,0,,0,2022-05-01
205,218,1,999,0,,0,2022-05-01
206,217,1,999,0,,0,2022-05-01
207,67,1,999,0,,0,2022-05-01
208,291,1,999,0,,0,2022-05-01
209,248,1,999,0,,0,2022-05-01
210,256,1,999,0,,0,2022-05-01
211,286,1,999,0,,0,2022-05-01
212,477,1,999,0,,0,2022-05-01
213,611,2,999,0,,0,2022-05-01
214,471,1,999,0,,0,2022-05-01
215,381,2,999,0,,0,2022-05-01
216,251,1,999,0,,0,2022-05-01
217,408,1,999,0,,0,2022-05-01
218,287,1,999,0,,0,2022-05-01
219,322,3,999,0,,0,2022-05-01
220,216,2,999,0,,0,2022-05-01
221,366,2,999,0,,0,2022-05-01
222,210,1,999,0,,0,2022-05-01
223,288,1,999,0,,0,2022-05-01
224,168,1,999,0,,0,2022-05-01
225,132,1,999,0,,0,2022-05-01
226,64,2,999,0,,0,2022-05-01
227,209,2,999,0,,0,2022-05-01
228,410,3,999,0,,0,2022-05-01
229,177,1,999,0,,0,2022-05-01
230,580,2,999,0,,0,2022-05-01
231,165,1,999,0,,0,2022-05-01
232,127,2,999,0,,0,2022-05-01
233,357,1,999,0,,0,2022-05-01
234,175,1,999,0,,0,2022-05-01
235,300,1,999,0,,0,2022-05-01
236,136,1,999,0,,0,2022-05-01
237,125,2,999,0,,0,2022-05-01
238,189,2,999,0,,0,2022-05-01
239,213,3,999,0,,0,2022-05-01
240,238,2,999,0,,0,2022-05-01
241,124,1,999,0,,0,2022-05-01
242,18,1,999,0,,0,2022-05-01
243,730,2,999,0,,0,2022-05-01
244,40,1,999,0,,0,2022-05-01
245,181,2,999,0,,0,2022-05-01
246,79,1,999,0,,0,2022-05-01
247,142,2,999,0,,0,2022-05-01
248,389,1,999,0,,0,2022-05-01
249,702,1,999,0,,0,2022-05-01
250,151,1,999,0,,0,2022-05-01
251,211,1,999,0,,0,2022-05-01
252,117,1,999,0,,0,2022-05-01
253,232,3,999,0,,0,2022-05-01
254,408,2,999,0,,0,2022-05-01
255,370,3,999,0,,0,2022-05-01
256,179,2,999,0,,0,2022-05-01
257,46,1,999,0,,0,2022-05-01
258,200,1,999,0,,0,2022-05-01
259,50,1,999,0,,0,2022-05-01
260,181,1,999,0,,0,2022-05-01
261,119,1,999,0,,0,2022-05-01
262,361,1,999,0,,0,2022-05-01
263,73,3,999,0,,0,2022-05-01
264,67,2,999,0,,0,2022-05-01
265,350,1,999,0,,0,2022-05-01
266,150,2,999,0,,0,2022-05-01
267,332,2,999,0,,0,2022-05-01
268,611,2,999,0,,0,2022-05-01
269,58,3,999,0,,0,2022-05-01
270,151,1,999,0,,0,2022-05-01
271,89,2,999,0,,0,2022-05-01
272,152,1,999,0,,0,2022-05-01
273,611,2,999,0,,0,2022-05-01
274,110,2,999,0,,0,2022-05-01
275,463,1,999,0,,0,2022-05-01
276,962,1,999,0,,0,2022-05-01
277,102,2,999,0,,0,2022-05-01
278,10,4,999,0,,0,2022-05-01
279,118,3,999,0,,0,2022-05-01
280,92,2,999,0,,0,2022-05-01
281,143,3,999,0,,0,2022-05-01
282,189,3,999,0,,0,2022-05-01
283,75,2,999,0,,0,2022-05-01
284,189,2,999,0,,0,2022-05-01
285,55,2,999,0,,0,2022-05-01
286,935,3,999,0,,1,2022-05-01
287,56,2,999,0,,0,2022-05-01
288,5,2,999,0,,0,2022-05-01
289,225,2,999,0,,0,2022-05-01
290,125,2,999,0,,0,2022-05-01
291,286,2,999,0,,0,2022-05-01
292,206,2,999,0,,0,2022-05-01
293,164,2,999,0,,0,2022-05-01
294,98,2,999,0,,0,2022-05-01
295,446,2,999,0,,0,2022-05-01
296,742,2,999,0,,0,2022-05-01
297,120,2,999,0,,0,2022-05-01
298,122,3,999,0,,0,2022-05-01
299,362,4,999,0,,0,2022-05-01
300,357,2,999,0,,0,2022-05-01
301,200,2,999,0,,0,2022-05-01
302,107,2,999,0,,0,2022-05-01
303,267,2,999,0,,0,2022-05-01
304,248,2,999,0,,0,2022-05-01
305,215,2,999,0,,0,2022-05-01
306,209,2,999,0,,0,2022-05-01
307,205,2,999,0,,0,2022-05-01
308,261,3,999,0,,0,2022-05-01
309,83,2,999,0,,0,2022-05-01
310,106,3,999,0,,0,2022-05-01
311,106,2,999,0,,0,2022-05-01
312,108,2,999,0,,0,2022-05-01
313,214,2,999,0,,0,2022-05-01
314,358,2,999,0,,0,2022-05-01
315,453,2,999,0,,0,2022-05-01
316,364,2,999,0,,0,2022-05-01
317,136,2,999,0,,0,2022-05-01
318,173,2,999,0,,0,2022-05-01
319,241,2,999,0,,0,2022-05-01
320,224,3,999,0,,0,2022-05-01
321,148,2,999,0,,0,2022-05-01
322,230,2,999,0,,0,2022-05-01
323,199,3,999,0,,0,2022-05-01
324,196,2,999,0,,0,2022-05-01
325,111,4,999,0,,0,2022-05-01
326,231,3,999,0,,0,2022-05-01
327,316,3,999,0,,0,2022-05-01
328,240,2,999,0,,0,2022-05-01
329,669,3,999,0,,0,2022-05-01
330,425,2,999,0,,0,2022-05-01
331,121,2,999,0,,0,2022-05-01
332,174,5,999,0,,0,2022-05-01
333,88,5,999,0,,0,2022-05-01
334,313,3,999,0,,0,2022-05-01
335,135,4,999,0,,0,2022-05-01
336,152,2,999,0,,0,2022-05-01
337,402,3,999,0,,0,2022-05-01
338,221,2,999,0,,0,2022-05-01
339,213,2,999,0,,0,2022-05-01
340,144,3,999,0,,0,2022-05-01
341,158,3,999,0,,0,2022-05-01
342,220,3,999,0,,0,2022-05-01
343,325,2,999,0,,0,2022-05-01
344,254,2,999,0,,0,2022-05-01
345,503,2,999,0,,0,2022-05-01
346,680,2,999,0,,0,2022-05-01
347,421,4,999,0,,0,2022-05-01
348,130,3,999,0,,0,2022-05-01
349,164,2,999,0,,0,2022-05-01
350,174,3,999,0,,0,2022-05-01
351,113,2,999,0,,0,2022-05-01
352,195,2,999,0,,0,2022-05-01
353,347,3,999,0,,0,2022-05-01
354,208,2,999,0,,0,2022-05-01
355,404,4,999,0,,0,2022-05-01
356,396,2,999,0,,0,2022-05-01
357,98,2,999,0,,0,2022-05-01
358,229,3,999,0,,0,2022-05-01
359,350,2,999,0,,0,2022-05-01
360,88,3,999,0,,0,2022-05-01
361,379,2,999,0,,0,2022-05-01
362,168,3,999,0,,0,2022-05-01
363,190,3,999,0,,0,2022-05-01
364,158,1,999,0,,0,2022-05-01
365,210,1,999,0,,0,2022-05-01
366,102,1,999,0,,0,2022-05-01
367,306,1,999,0,,0,2022-05-01
368,64,1,999,0,,0,2022-05-01
369,218,1,999,0,,0,2022-05-01
370,77,1,999,0,,0,2022-05-01
371,54,1,999,0,,0,2022-05-01
372,344,1,999,0,,0,2022-05-01
373,195,1,999,0,,0,2022-05-01
374,202,1,999,0,,0,2022-05-01
375,286,1,999,0,,0,2022-05-01
376,278,1,999,0,,0,2022-05-01
377,189,1,999,0,,0,2022-05-01
378,83,1,999,0,,0,2022-05-01
379,18,1,999,0,,0,2022-05-01
380,184,2,999,0,,0,2022-05-01
381,235,1,999,0,,0,2022-05-01
382,290,1,999,0,,0,2022-05-01
383,133,1,999,0,,0,2022-05-01
384,318,1,999,0,,0,2022-05-01
385,437,1,999,0,,0,2022-05-01
386,402,1,999,0,,0,2022-05-01
387,501,4,999,0,,0,2022-05-01
388,1201,1,999,0,,1,2022-05-01
389,1030,1,999,0,,1,2022-05-01
390,253,1,999,0,,0,2022-05-01
391,149,1,999,0,,0,2022-05-01
392,144,1,999,0,,0,2022-05-01
393,69,1,999,0,,0,2022-05-01
394,243,1,999,0,,0,2022-05-01
395,769,2,999,0,,0,2022-05-01
396,135,3,999,0,,0,2022-05-01
397,231,1,999,0,,0,2022-05-01
398,442,2,999,0,,0,2022-05-01
399,199,1,999,0,,0,2022-05-01
400,455,1,999,0,,0,2022-05-01
401,152,1,999,0,,0,2022-05-01
402,124,1,999,0,,0,2022-05-01
403,424,1,999,0,,0,2022-05-01
404,43,1,999,0,,0,2022-05-01
405,154,1,999,0,,0,2022-05-01
406,393,1,999,0,,0,2022-05-01
407,203,2,999,0,,0,2022-05-01
408,140,2,999,0,,0,2022-05-01
409,326,1,999,0,,0,2022-05-01
410,483,1,999,0,,0,2022-05-01
411,259,1,999,0,,0,2022-05-01
412,227,1,999,0,,0,2022-05-01
413,673,1,999,0,,0,2022-05-01
414,576,1,999,0,,0,2022-05-01
415,180,2,999,0,,0,2022-05-01
416,90,1,999,0,,0,2022-05-01
417,505,1,999,0,,0,2022-05-01
418,245,1,999,0,,0,2022-05-01
419,186,1,999,0,,0,2022-05-01
420,208,1,999,0,,0,2022-05-01
421,623,1,999,0,,0,2022-05-01
422,180,1,999,0,,0,2022-05-01
423,496,3,999,0,,0,2022-05-01
424,118,1,999,0,,0,2022-05-01
425,102,2,999,0,,0,2022-05-01
426,342,1,999,0,,0,2022-05-01
427,225,1,999,0,,0,2022-05-01
428,185,3,999,0,,0,2022-05-01
429,276,1,999,0,,0,2022-05-01
430,87,1,999,0,,0,2022-05-01
431,744,1,999,0,,0,2022-05-01
432,262,1,999,0,,0,2022-05-01
433,271,1,999,0,,0,2022-05-01
434,141,1,999,0,,0,2022-05-01
435,198,2,999,0,,0,2022-05-01
436,150,1,999,0,,0,2022-05-01
437,241,1,999,0,,0,2022-05-01
438,196,1,999,0,,0,2022-05-01
439,149,1,999,0,,0,2022-05-01
440,264,1,999,0,,0,2022-05-01
441,246,1,999,0,,0,2022-05-01
442,309,2,999,0,,0,2022-05-01
443,140,1,999,0,,0,2022-05-01
444,175,1,999,0,,0,2022-05-01
445,136,1,999,0,,0,2022-05-01
446,1623,1,999,0,,1,2022-05-01
447,50,1,999,0,,0,2022-05-01
448,101,1,999,0,,0,2022-05-01
449,144,1,999,0,,0,2022-05-01
450,238,1,999,0,,0,2022-05-01
451,354,1,999,0,,0,2022-05-01
452,451,2,999,0,,0,2022-05-01
453,159,1,999,0,,0,2022-05-01
454,170,1,999,0,,0,2022-05-01
455,243,1,999,0,,0,2022-05-01
456,141,2,999,0,,0,2022-05-01
457,112,1,999,0,,0,2022-05-01
458,262,2,999,0,,0,2022-05-01
459,53,1,999,0,,0,2022-05-01
460,134,1,999,0,,0,2022-05-01
461,204,4,999,0,,0,2022-05-01
462,678,1,999,0,,0,2022-05-01
463,182,1,999,0,,0,2022-05-01
464,162,1,999,0,,0,2022-05-01
465,177,1,999,0,,0,2022-05-01
466,27,1,999,0,,0,2022-05-01
467,699,3,999,0,,0,2022-05-01
468,358,1,999,0,,0,2022-05-01
469,1677,1,999,0,,1,2022-05-01
470,529,1,999,0,,0,2022-05-01
471,310,1,999,0,,0,2022-05-01
472,47,1,999,0,,0,2022-05-01
473,379,1,999,0,,0,2022-05-01
474,30,2,999,0,,0,2022-05-01
475,472,1,999,0,,0,2022-05-01
476,113,1,999,0,,0,2022-05-01
477,114,1,999,0,,0,2022-05-01
478,116,1,999,0,,0,2022-05-01
479,448,1,999,0,,0,2022-05-01
480,264,1,999,0,,0,2022-05-01
481,169,1,999,0,,0,2022-05-01
482,145,1,999,0,,0,2022-05-01
483,288,1,999,0,,0,2022-05-01
484,381,1,999,0,,0,2022-05-01
485,176,2,999,0,,0,2022-05-01
486,215,1,999,0,,0,2022-05-01
487,278,1,999,0,,0,2022-05-01
488,188,2,999,0,,0,2022-05-01
489,174,2,999,0,,0,2022-05-01
490,226,2,999,0,,0,2022-05-01
491,111,2,999,0,,0,2022-05-01
492,157,2,999,0,,0,2022-05-01
493,46,1,999,0,,0,2022-05-01
494,49,1,999,0,,0,2022-05-01
495,374,1,999,0,,0,2022-05-01
496,349,1,999,0,,0,2022-05-01
497,325,1,999,0,,0,2022-05-01
498,233,2,999,0,,0,2022-05-01
499,531,1,999,0,,0,2022-05-01
500,153,1,999,0,,0,2022-05-01
501,80,1,999,0,,0,2022-05-01
502,198,1,999,0,,0,2022-05-01
503,568,1,999,0,,0,2022-05-01
504,918,1,999,0,,1,2022-05-01
505,82,1,999,0,,0,2022-05-01
506,198,3,999,0,,0,2022-05-01
507,211,1,999,0,,0,2022-05-01
508,120,1,999,0,,0,2022-05-01
509,269,1,999,0,,0,2022-05-01
510,128,1,999,0,,0,2022-05-01
511,166,2,999,0,,0,2022-05-01
512,211,1,999,0,,0,2022-05-01
513,369,1,999,0,,0,2022-05-01
514,91,1,999,0,,0,2022-05-01
515,267,2,999,0,,0,2022-05-01
516,198,1,999,0,,0,2022-05-01
517,371,2,999,0,,0,2022-05-01
518,288,2,999,0,,0,2022-05-01
519,221,1,999,0,,0,2022-05-01
520,427,1,999,0,,0,2022-05-01
521,310,1,999,0,,0,2022-05-01
522,158,1,999,0,,0,2022-05-01
523,198,1,999,0,,0,2022-05-01
524,145,1,999,0,,0,2022-05-01
525,247,1,999,0,,0,2022-05-01
526,102,1,999,0,,0,2022-05-01
527,179,2,999,0,,0,2022-05-01
528,73,1,999,0,,0,2022-05-01
529,263,2,999,0,,0,2022-05-01
530,342,2,999,0,,0,2022-05-01
531,41,1,999,0,,0,2022-05-01
532,13,1,999,0,,0,2022-05-01
533,79,2,999,0,,0,2022-05-01
534,358,1,999,0,,0,2022-05-01
535,162,1,999,0,,0,2022-05-01
536,150,1,999,0,,0,2022-05-01
537,26,1,999,0,,0,2022-05-01
538,250,1,999,0,,0,2022-05-01
539,792,1,999,0,,0,2022-05-01
540,146,1,999,0,,0,2022-05-01
541,440,1,999,0,,0,2022-05-01
542,289,1,999,0,,0,2022-05-01
543,242,2,999,0,,0,2022-05-01
544,123,1,999,0,,0,2022-05-01
545,161,2,999,0,,0,2022-05-01
546,268,2,999,0,,0,2022-05-01
547,259,2,999,0,,0,2022-05-01
548,26,1,999,0,,0,2022-05-01
549,153,1,999,0,,0,2022-05-01
550,424,2,999,0,,0,2022-05-01
551,375,1,999,0,,0,2022-05-01
552,179,2,999,0,,0,2022-05-01
553,383,1,999,0,,0,2022-05-01
554,440,1,999,0,,0,2022-05-01
555,195,1,999,0,,0,2022-05-01
556,1297,3,999,0,,1,2022-05-01
557,217,1,999,0,,0,2022-05-01
558,87,1,999,0,,0,2022-05-01
559,427,1,999,0,,0,2022-05-01
560,189,1,999,0,,0,2022-05-01
561,502,1,999,0,,0,2022-05-01
562,260,1,999,0,,0,2022-05-01
563,209,1,999,0,,0,2022-05-01
564,179,1,999,0,,0,2022-05-01
565,179,1,999,0,,0,2022-05-01
566,69,1,999,0,,0,2022-05-01
567,105,2,999,0,,0,2022-05-01
568,266,3,999,0,,0,2022-05-01
569,87,2,999,0,,0,2022-05-01
570,524,2,999,0,,0,2022-05-01
571,155,2,999,0,,0,2022-05-01
572,162,2,999,0,,0,2022-05-01
573,316,4,999,0,,0,2022-05-01
574,352,2,999,0,,0,2022-05-01
575,695,3,999,0,,0,2022-05-01
576,76,4,999,0,,0,2022-05-01
577,535,2,999,0,,0,2022-05-01
578,310,2,999,0,,0,2022-05-01
579,390,3,999,0,,0,2022-05-01
580,369,1,999,0,,0,2022-05-01
581,112,2,999,0,,0,2022-05-01
582,79,1,999,0,,0,2022-05-01
583,140,2,999,0,,0,2022-05-01
584,315,1,999,0,,0,2022-05-01
585,262,2,999,0,,0,2022-05-01
586,174,2,999,0,,0,2022-05-01
587,424,2,999,0,,0,2022-05-01
588,135,1,999,0,,0,2022-05-01
589,36,5,999,0,,0,2022-05-01
590,1906,3,999,0,,0,2022-05-01
591,219,2,999,0,,0,2022-05-01
592,135,1,999,0,,0,2022-05-01
593,147,2,999,0,,0,2022-05-01
594,407,2,999,0,,0,2022-05-01
595,402,4,999,0,,0,2022-05-01
596,209,1,999,0,,0,2022-05-01
597,92,2,999,0,,0,2022-05-01
598,208,1,999,0,,0,2022-05-01
599,193,1,999,0,,0,2022-05-01
600,65,1,999,0,,0,2022-05-01
601,284,2,999,0,,0,2022-05-01
602,285,1,999,0,,0,2022-05-01
603,231,1,999,0,,0,2022-05-01
604,278,1,999,0,,0,2022-05-01
605,389,1,999,0,,0,2022-05-01
606,158,1,999,0,,0,2022-05-01
607,78,2,999,0,,0,2022-05-01
608,258,5,999,0,,0,2022-05-01
609,87,1,999,0,,0,2022-05-01
610,147,2,999,0,,0,2022-05-01
611,635,1,999,0,,0,2022-05-01
612,289,1,999,0,,0,2022-05-01
613,170,3,999,0,,0,2022-05-01
614,802,1,999,0,,0,2022-05-01
615,381,2,999,0,,0,2022-05-01
616,218,4,999,0,,0,2022-05-01
617,57,2,999,0,,0,2022-05-01
618,304,2,999,0,,0,2022-05-01
619,241,3,999,0,,0,2022-05-01
620,230,1,999,0,,0,2022-05-01
621,79,4,999,0,,0,2022-05-01
622,262,3,999,0,,0,2022-05-01
623,392,2,999,0,,0,2022-05-01
624,201,2,999,0,,0,2022-05-01
625,145,1,999,0,,0,2022-05-01
626,252,1,999,0,,0,2022-05-01
627,329,1,999,0,,0,2022-05-01
628,328,2,999,0,,0,2022-05-01
629,191,2,999,0,,0,2022-05-01
630,116,2,999,0,,0,2022-05-01
631,246,1,999,0,,0,2022-05-01
632,532,2,999,0,,0,2022-05-01
633,293,1,999,0,,0,2022-05-01
634,416,3,999,0,,0,2022-05-01
635,37,2,999,0,,0,2022-05-01
636,132,2,999,0,,0,2022-05-01
637,530,2,999,0,,0,2022-05-01
638,175,3,999,0,,0,2022-05-01
639,90,5,999,0,,0,2022-05-01
640,524,2,999,0,,0,2022-05-01
641,29,3,999,0,,0,2022-05-01
642,311,2,999,0,,0,2022-05-01
643,412,1,999,0,,0,2022-05-01
644,211,2,999,0,,0,2022-05-01
645,312,3,999,0,,0,2022-05-01
646,392,1,999,0,,0,2022-05-01
647,191,1,999,0,,0,2022-05-01
648,284,2,999,0,,0,2022-05-01
649,328,1,999,0,,0,2022-05-01
650,100,1,999,0,,0,2022-05-01
651,226,1,999,0,,0,2022-05-01
652,507,1,999,0,,0,2022-05-01
653,333,2,999,0,,0,2022-05-01
654,128,2,999,0,,0,2022-05-01
655,322,2,999,0,,0,2022-05-01
656,202,4,999,0,,0,2022-05-01
657,92,2,999,0,,0,2022-05-01
658,205,2,999,0,,0,2022-05-01
659,739,3,999,0,,0,2022-05-01
660,273,2,999,0,,0,2022-05-01
661,339,3,999,0,,0,2022-05-01
662,262,1,999,0,,0,2022-05-01
663,308,3,999,0,,0,2022-05-01
664,467,2,999,0,,0,2022-05-01
665,245,2,999,0,,0,2022-05-01
666,160,3,999,0,,0,2022-05-01
667,189,2,999,0,,0,2022-05-01
668,477,1,999,0,,0,2022-05-01
669,65,3,999,0,,0,2022-05-01
670,191,1,999,0,,0,2022-05-01
671,196,2,999,0,,0,2022-05-01
672,221,2,999,0,,0,2022-05-01
673,197,2,999,0,,0,2022-05-01
674,178,2,999,0,,0,2022-05-01
675,221,2,999,0,,0,2022-05-01
676,64,2,999,0,,0,2022-05-01
677,75,2,999,0,,0,2022-05-01
678,400,2,999,0,,0,2022-05-01
679,378,3,999,0,,0,2022-05-01
680,118,2,999,0,,0,2022-05-01
681,1597,2,999,0,,1,2022-05-01
682,346,2,999,0,,0,2022-05-01
683,107,2,999,0,,0,2022-05-01
684,60,3,999,0,,0,2022-05-01
685,276,2,999,0,,0,2022-05-01
686,176,2,999,0,,0,2022-05-01
687,390,2,999,0,,0,2022-05-01
688,251,3,999,0,,0,2022-05-01
689,716,2,999,0,,0,2022-05-01
690,189,3,999,0,,0,2022-05-01
691,125,2,999,0,,0,2022-05-01
692,234,2,999,0,,0,2022-05-01
693,79,2,999,0,,0,2022-05-01
